rang,mot,fitness
1,rent,2.6595574481722193
2,ement,2.6936788963202902
3,prons,2.9404207249079937
4,mant,3.023001804053733
5,cont,3.029136682775327
6,coment,3.1717728287189932
7,ements,3.1846723701718953
8,iment,3.213112613602994
9,rées,3.219738648239247
10,rents,3.226321576940445
11,ents,3.2381843683430627
12,trent,3.2656261572674965
13,entent,3.2681297872585335
14,prées,3.2855118432797674
15,sant,3.3180255115012653
16,cant,3.3256735561447495
17,ines,3.354321244393291
18,pront,3.37293312875337
19,dées,3.396844943316055
20,emente,3.39914246412516
21,prent,3.407532690022737
22,pent,3.4206243809981394
23,dement,3.4317079338311545
24,traisses,3.484565088583862
25,rant,3.4882016540083036
26,pant,3.496743134496487
27,crons,3.502879145582722
28,sement,3.508090884541729
29,trons,3.530676056649447
30,raisses,3.555770578232755
31,ament,3.5621648107273267
32,frait,3.5669922669020155
33,sions,3.5827164323706735
34,mants,3.6007227179877614
35,monnes,3.606101806414006
36,conts,3.6069852153294764
37,emes,3.6084133820794326
38,lant,3.627801972648954
39,traisées,3.6283696065024906
40,bant,3.6341469314871624
41,ques,3.656993107622509
42,emment,3.6611170641535966
43,rons,3.6670100275913753
44,traisse,3.676680990559164
45,prée,3.69784169788695
46,brons,3.7011130823840315
47,trasses,3.701873194333013
48,traisser,3.7091818519759827
49,pres,3.710651461634175
50,traistes,3.7276156766009163
51,monnées,3.7308066233783266
52,grent,3.7605269285400724
53,fraisses,3.7629041132959546
54,ronnes,3.7664410014686847
55,pron,3.7693571657557166
56,inaisses,3.7768649790508233
57,sées,3.7811490319405228
58,plait,3.7852453142665
59,raisse,3.786628205858025
60,braisses,3.7881750100270515
61,frant,3.792447984563711
62,flant,3.793179551984613
63,coles,3.7946696168903937
64,fons,3.8086772360813144
65,traies,3.81069200788252
66,frons,3.811130109595754
67,raisser,3.8113398091034325
68,détes,3.8121373192243846
69,rasses,3.815829424245511
70,imant,3.817952703163306
71,ément,3.825370371891812
72,brant,3.8288850037666666
73,ments,3.8319125818462236
74,mait,3.834506355848033
75,emens,3.8408112584531127
76,traises,3.840932712619894
77,trisses,3.8469234519930433
78,pons,3.8711243369159036
79,fonnes,3.8750536832822124
80,traissez,3.875701118046859
81,pronts,3.8772064704049205
82,hant,3.8778028911117364
83,fant,3.881705453386668
84,raitée,3.8886133778310468
85,craisses,3.892810825776077
86,vant,3.8972265248943785
87,monne,3.901314742882955
88,cants,3.9076055400712537
89,ponnes,3.922608239650573
90,ants,3.9299207820599213
91,mées,3.9315346731016563
92,traismes,3.9376234188999573
93,grons,3.9541126682254055
94,trasse,3.9621092580058623
95,trasser,3.9679434776207154
96,démes,3.9680369167420744
97,traisée,3.9694609821791693
98,conse,3.9742111464116725
99,raises,3.977461719902045
100,crant,3.9808607534981646
101,cules,3.9979324714943396
102,crées,3.9980447772048486
103,frent,4.000901116766826
104,taisses,4.001637350055405
105,raissez,4.001925053406798
106,monner,4.009230213884999
107,conce,4.0101661776428745
108,cront,4.018124690821226
109,rens,4.023148300029412
110,ints,4.030318138121381
111,pronné,4.036249203845045
112,déces,4.039032107059421
113,tront,4.050010305495264
114,trai,4.055934423938047
115,aments,4.066885282727276
116,écont,4.068347433702474
117,traiste,4.072847880633362
118,pait,4.07297467651641
119,raissée,4.089561651180088
120,indisses,4.095486658820961
121,flait,4.096061682539532
122,plons,4.114557615465921
123,traiser,4.116997829193913
124,crent,4.119561684637294
125,faisses,4.124749667460184
126,raisée,4.127505890517512
127,traise,4.1299377282578105
128,stes,4.144899842331694
129,traissés,4.14528376086056
130,déver,4.151987947284013
131,irent,4.152732096951447
132,trassers,4.158194706662293
133,craisse,4.158308899010376
134,gres,4.162877335633311
135,parons,4.164234450522835
136,trassez,4.166359655380048
137,comes,4.171291162025198
138,pement,4.17183965556005
139,acent,4.171864589761796
140,glant,4.175374930777763
141,lonnes,4.175593110679847
142,bait,4.177631509936166
143,défes,4.180262330368059
144,déper,4.198901392576319
145,graiste,4.199345502243348
146,lons,4.2075385348402
147,arait,4.209226685951098
148,graie,4.211572638262631
149,monners,4.218526327773893
150,raite,4.218708919510379
151,pronse,4.2204832582397
152,nons,4.2247398619502645
153,araisses,4.225258215278689
154,mint,4.225550814057743
155,draisses,4.226115847491335
156,lement,4.22994025459107
157,tées,4.236837419589937
158,ales,4.238269775241065
159,tent,4.240517248942977
160,bres,4.242893989737181
161,cades,4.244558118955999
162,graiser,4.244866693642028
163,bront,4.245517256455268
164,grai,4.2463525860493405
165,honnes,4.248484602348244
166,raiste,4.248642464647277
167,étaisses,4.251546523235591
168,pérons,4.257779079014811
169,dant,4.2621827126738
170,obles,4.26733942081498
171,trées,4.273566753951843
172,graise,4.2745199541080705
173,monnez,4.275637944251495
174,fent,4.288810174646917
175,maisse,4.289175891321877
176,pées,4.293740958483516
177,flants,4.2967505360746765
178,ront,4.303713932609737
179,perent,4.304303977442708
180,hons,4.305754562567508
181,fonner,4.30824839160344
182,raissés,4.312387964701677
183,déter,4.315147750324011
184,traines,4.319034511642384
185,cait,4.321464476524595
186,lées,4.321497807029461
187,taisse,4.324836173898762
188,coues,4.335171530075972
189,défer,4.339379899783225
190,raise,4.342909997721524
191,craises,4.344076823743776
192,gonnes,4.346988236974824
193,élant,4.349665153850375
194,alant,4.35318155757242
195,étent,4.354845074745117
196,monnés,4.356752226945848
197,mans,4.3579698050519795
198,cole,4.359085111919395
199,rétes,4.365814910715646
200,déte,4.370106566978941
201,raisés,4.381359612325681
202,hement,4.386125357266393
203,traisme,4.386336048512719
204,ressée,4.396367483887997
205,conis,4.403538538485805
206,ratisses,4.404425580507539
207,saisée,4.405340889264305
208,frées,4.408305253210277
209,poles,4.412359753088209
210,chets,4.4180459646170425
211,étes,4.418905830305373
212,conge,4.42065650501062
213,phons,4.4231584155011765
214,tont,4.427954752003262
215,chont,4.4289688957289615
216,cones,4.429240770573595
217,sonces,4.431988279820108
218,fraite,4.432365920956353
219,emient,4.4349966916735095
220,fement,4.435596564325824
221,gons,4.439374934892428
222,praisses,4.439498046655738
223,conde,4.443240527618564
224,vait,4.445523588299745
225,ples,4.447826812429905
226,hées,4.450472743345082
227,fonnée,4.450936522483748
228,emer,4.4623263359720395
229,crés,4.465483577012345
230,rassée,4.466063138726018
231,drons,4.4736548118910076
232,cement,4.473795757992096
233,faisse,4.474809100625313
234,blant,4.475984027643
235,trit,4.47616928752478
236,monces,4.481065812337087
237,paisse,4.487717827892957
238,emant,4.500354090436619
239,taissez,4.503736226366527
240,sment,4.507179026129831
241,glait,4.50877503419177
242,rers,4.512580963494819
243,gées,4.516731198216296
244,prait,4.517403740313862
245,grées,4.529967206947488
246,prois,4.530391165453645
247,conit,4.531929418744331
248,gront,4.535731060696482
249,iraisses,4.537376155462226
250,traitue,4.53924286668897
251,traisé,4.541908005574534
252,ponners,4.546090271888526
253,truisses,4.550363962735835
254,triaisses,4.552905791272658
255,arent,4.554383807714545
256,araisse,4.554714322356343
257,draisse,4.555741561026931
258,traissis,4.55789212277905
259,coler,4.559631270974856
260,troisses,4.560461818275393
261,élaisses,4.562310858686804
262,vées,4.563301919172074
263,enté,4.5633288275945425
264,dait,4.576705102516953
265,troires,4.580928660649863
266,enne,4.584070162784539
267,monses,4.585561916530577
268,drasses,4.586956988756746
269,colés,4.587833247154947
270,arisses,4.599286917295788
271,tatisses,4.600647115274788
272,traigues,4.604422986839437
273,craiste,4.606371787446684
274,mennes,4.607117356093906
275,lonne,4.6130519738264155
276,pronis,4.616833241251969
277,guent,4.617539606458017
278,raisme,4.618270437507532
279,cles,4.6195803411227665
280,motes,4.620918785868085
281,cron,4.6233018554386875
282,métes,4.624586549675703
283,brées,4.626301121072375
284,cres,4.630163273731526
285,entis,4.630374279118159
286,inai,4.63869397016671
287,prones,4.640403435899384
288,prots,4.640535818090758
289,lonner,4.642385312153807
290,raits,4.643485933912197
291,aces,4.644112828839481
292,déle,4.651643277403202
293,aérisses,4.659421606410943
294,déser,4.662398043009229
