rang,mot,fitness
1,rent,2.6595574481722193
2,mant,3.023001804053733
3,rées,3.219738648239247
4,rents,3.226321576940445
5,ents,3.2381843683430627
6,trent,3.2656261572674965
7,prées,3.2855118432797674
8,sant,3.3180255115012653
9,cant,3.3256735561447495
10,ines,3.354321244393291
11,pront,3.37293312875337
12,dées,3.396844943316055
13,prent,3.407532690022737
14,pent,3.4206243809981394
15,rant,3.4882016540083036
16,pant,3.496743134496487
17,délées,3.510963839867831
18,tres,3.530999621329529
19,mants,3.6007227179877614
20,conts,3.6069852153294764
21,ches,3.616858431135453
22,lant,3.627801972648954
23,bant,3.6341469314871624
24,ques,3.656993107622509
25,rons,3.6670100275913753
26,pres,3.710651461634175
27,grent,3.7605269285400724
28,sées,3.7811490319405228
29,coles,3.7946696168903937
30,détes,3.8121373192243846
31,éques,3.813818787340074
32,imant,3.817952703163306
33,brent,3.822399239083228
34,mait,3.834506355848033
35,bles,3.8462531351801372
36,hant,3.8778028911117364
37,fant,3.881705453386668
38,vant,3.8972265248943785
39,délée,3.9224210620567375
40,ants,3.9299207820599213
41,mées,3.9315346731016563
42,démes,3.9680369167420744
43,élées,3.9725345390073104
44,crant,3.9808607534981646
45,crées,3.9980447772048486
46,frent,4.000901116766826
47,déles,4.011944099246067
48,rens,4.023148300029412
49,décit,4.023210686018796
50,flées,4.024080243092492
51,ints,4.030318138121381
52,déces,4.039032107059421
53,tront,4.050010305495264
54,trai,4.055934423938047
55,déchée,4.061300595802513
56,déres,4.067085713345559
57,pait,4.07297467651641
58,dégées,4.097208509641845
59,trez,4.103428001143393
60,crent,4.119561684637294
61,strent,4.119807722758166
62,délés,4.1289944426321386
63,stes,4.144899842331694
64,fles,4.1501395469148
65,irent,4.152732096951447
66,gres,4.162877335633311
67,ades,4.1762761260620245
68,bait,4.177631509936166
69,dénée,4.1813819069315175
70,déves,4.203278370808827
71,dévées,4.21703810852723
72,gues,4.220206302918174
73,mint,4.225550814057743
74,tées,4.236837419589937
75,ales,4.238269775241065
76,tent,4.240517248942977
77,bres,4.242893989737181
78,quées,4.2435501639541595
79,tries,4.246097648287638
80,pares,4.250721475485834
81,entés,4.25682424394443
82,ances,4.261042670342155
83,dant,4.2621827126738
84,déses,4.264350120745236
85,obles,4.26733942081498
86,trées,4.273566753951843
87,éque,4.27578756059809
88,corte,4.284450841785469
89,fent,4.288810174646917
90,pées,4.293740958483516
91,ront,4.303713932609737
92,démées,4.304700132482147
93,décées,4.30986551466459
94,prez,4.312204118679608
95,cait,4.321464476524595
96,lées,4.321497807029461
97,entée,4.322292733888015
98,drent,4.323302281284054
99,sules,4.327489389322183
100,réque,4.3352522727645795
101,émant,4.339817356109322
102,reme,4.340660076036679
103,nait,4.342617766994714
104,étent,4.354845074745117
105,cores,4.355685342555594
106,mans,4.3579698050519795
107,rétes,4.365814910715646
108,déte,4.370106566978941
109,flent,4.388824811103851
110,inte,4.3962137986447765
111,frées,4.408305253210277
112,étres,4.415078417026235
113,étes,4.418905830305373
114,tont,4.427954752003262
115,cones,4.429240770573595
116,dénés,4.430032606902833
117,imes,4.4326124492366015
118,vait,4.445523588299745
119,mélées,4.446686553700808
120,déges,4.447343142111915
121,ples,4.447826812429905
122,hées,4.450472743345082
123,dérés,4.464387913040336
124,crés,4.465483577012345
125,fres,4.4749437582261375
126,chés,4.4948086875394555
127,emant,4.500354090436619
128,rers,4.512580963494819
129,gées,4.516731198216296
130,ards,4.518080452091538
131,vales,4.520409720244505
132,sents,4.526613230230861
133,grées,4.529967206947488
134,péres,4.5311417144958295
135,chée,4.531699115378498
136,fores,4.547353525140325
137,stres,4.553827971450946
138,arent,4.554383807714545
139,atent,4.557913502699997
140,cares,4.562397783727761
141,vées,4.563301919172074
142,enté,4.5633288275945425
143,éclées,4.564386014104112
144,dait,4.576705102516953
145,enne,4.584070162784539
146,quer,4.587247158472523
147,dépes,4.587557418093916
148,artes,4.600023884718051
149,matit,4.606886676835717
150,désées,4.612980011783992
151,dérie,4.614303447758841
152,élée,4.61484445604332
153,cles,4.6195803411227665
154,motes,4.620918785868085
155,métes,4.624586549675703
156,audes,4.625983524852143
157,brées,4.626301121072375
158,cortés,4.627217910356631
159,cres,4.630163273731526
160,entis,4.630374279118159
161,équer,4.631555895529373
162,aces,4.644112828839481
163,extée,4.645615798971689
164,catit,4.649642286820429
165,déle,4.651643277403202
166,scant,4.65269025971702
167,rours,4.654346084723772
168,trens,4.656328461371514
169,dours,4.6590337347225
170,ates,4.66022635100711
171,déser,4.662398043009229
172,tron,4.66613272494163
173,acées,4.667955733217695
174,aques,4.670097518599306
175,déme,4.671261793518253
176,déce,4.675608467700155
177,détés,4.676977076339413
178,réent,4.677051936679475
179,tras,4.677063738403678
180,chis,4.677975706316804
181,dégée,4.679464596873073
182,délé,4.681157222555582
183,flée,4.6847797358694905
184,entit,4.687435860241075
185,chale,4.697053764451833
186,enait,4.700476720402814
187,détai,4.706397710348711
188,atte,4.715418588462483
189,réves,4.7174009922992886
190,bont,4.718242299807455
191,trage,4.725935633962301
192,raint,4.726392654009712
193,trint,4.73695780880045
194,séque,4.73695971348684
195,éles,4.737957622743518
196,rera,4.739015100013128
197,fries,4.743181360073285
198,débées,4.743318407702583
199,entai,4.745609410909608
200,détée,4.748907372057937
201,suse,4.750838667111753
202,débes,4.752705553458124
203,imées,4.752979206924621
204,déplée,4.768551488635038
205,apant,4.773921490098298
206,patit,4.775004864379967
207,dése,4.780037311233573
208,dices,4.784248940729492
209,ager,4.789695490002284
210,bules,4.790809294636835
211,dines,4.797682579797898
212,quers,4.804080227598118
213,cées,4.813001679498706
214,turs,4.814433888437939
215,lotes,4.819215030127195
216,déra,4.819590993749555
217,réses,4.823713630629696
218,trés,4.826531458149336
219,dédes,4.828242808512831
220,aves,4.829019027154273
221,manté,4.831555657087143
222,dants,4.83359163287868
223,grez,4.837742638423453
224,fices,4.837968522266463
