rang,mot,fitness
1,mant,3.023001804053733
2,cont,3.029136682775327
3,conner,3.2178128799856704
4,sant,3.3180255115012653
5,cant,3.3256735561447495
6,rant,3.4882016540083036
7,pant,3.496743134496487
8,conts,3.6069852153294764
9,emes,3.6084133820794326
10,lant,3.627801972648954
11,bant,3.6341469314871624
12,rons,3.6670100275913753
13,conné,3.7765701382246117
14,fons,3.8086772360813144
15,mait,3.834506355848033
16,pons,3.8711243369159036
17,hant,3.8778028911117364
18,fant,3.881705453386668
19,vant,3.8972265248943785
20,cants,3.9076055400712537
21,ardes,3.9623518657402057
22,conse,3.9742111464116725
23,conser,3.979278031957973
24,couser,3.9844650323666335
25,conce,4.0101661776428745
26,rens,4.023148300029412
27,tiont,4.039523413543852
28,trai,4.055934423938047
29,relle,4.063235067859454
30,pait,4.07297467651641
31,bouser,4.098573394704006
32,ronne,4.100182624656438
33,fles,4.1501395469148
34,commage,4.185499191992574
35,ronner,4.187493829221603
36,connit,4.190201255726276
37,saires,4.1912800510492305
38,consez,4.20382350695793
39,lons,4.2075385348402
40,raite,4.218708919510379
41,conna,4.219454566277327
42,nons,4.2247398619502645
43,mint,4.225550814057743
44,ales,4.238269775241065
45,tent,4.240517248942977
46,grai,4.2463525860493405
47,dant,4.2621827126738
48,fent,4.288810174646917
49,ponne,4.295042903860768
50,hons,4.305754562567508
51,condit,4.314338807575837
52,saité,4.322839850390407
53,raise,4.342909997721524
54,mans,4.3579698050519795
55,ponner,4.361119101981282
56,colit,4.3918782245428
57,conis,4.403538538485805
58,conge,4.42065650501062
59,tont,4.427954752003262
60,cones,4.429240770573595
61,commate,4.433618072792372
62,mins,4.437987361957053
63,comis,4.4996785758136655
64,commale,4.502325609473854
65,rers,4.512580963494819
66,diait,4.517785561907313
67,ards,4.518080452091538
68,conit,4.531929418744331
69,saite,4.544782122625399
70,pera,4.548290387687402
71,cortis,4.575900449407198
72,commaie,4.587540900814186
73,pouser,4.590483008276079
74,matit,4.606886676835717
75,cles,4.6195803411227665
76,cortit,4.625204118079821
77,maité,4.626882055548033
78,cres,4.630163273731526
79,nonner,4.656612356456454
80,combage,4.6575447923484505
81,arres,4.66809485310182
82,taité,4.6708715046259845
83,cordis,4.672421332687092
84,saise,4.678582972751442
85,pouse,4.6791816835184585
86,conds,4.692168174731185
87,honne,4.705198181747166
88,solle,4.710332435737734
89,andes,4.718828116233107
90,coris,4.757206360376527
91,consé,4.763761126710327
92,ardis,4.772022677100471
93,conier,4.780333439581962
94,alis,4.800663049987264
95,fortit,4.802809339469916
96,cormit,4.810570295636155
97,turs,4.814433888437939
98,déra,4.819590993749555
99,portit,4.830233160733009
100,sille,4.831487996398568
101,touser,4.837332081234615
102,cots,4.849292052250765
103,pousez,4.849517983790318
104,maite,4.864434394360423
105,contis,4.866191802854063
106,arais,4.877743963964968
107,crai,4.878452960008779
108,satte,4.884067088854052
109,corit,4.884724627826988
110,surse,4.884752455966375
111,cordit,4.896632957365811
112,solis,4.896860351303246
113,parra,4.902230446915279
114,ordes,4.908961907011991
115,contit,4.918623255635432
116,surée,4.9224186400950645
117,commane,4.931548801143291
118,alit,4.938769469502086
119,mortit,4.954479519631087
120,nont,4.958282543194935
121,conie,4.963066817554055
122,coue,4.965199735658716
123,touse,4.967833962673949
124,corté,4.970254140334261
125,cormage,4.97635260380673
126,coutit,4.976786505952971
127,solée,4.97900830177611
128,tonts,4.994290103354503
129,saits,5.002391077874112
130,maise,5.007645980699748
131,laite,5.009190320409813
132,conve,5.014869564629998
133,solit,5.0173639135271015
134,cone,5.024347622049445
135,rans,5.028603509834478
136,suris,5.038062069776001
137,corie,5.038153781339637
138,rouser,5.039265596123361
139,mulée,5.0396885600986545
140,déné,5.041251372382617
141,sonse,5.045777179606914
142,volle,5.047212788409611
143,cortie,5.050139671086608
144,cartit,5.051841863945952
145,saire,5.052745346596818
146,hont,5.053363847355328
147,poiser,5.054448619101696
148,dint,5.076782453257638
149,clai,5.097335220162257
150,monse,5.109683884600994
151,tousez,5.110296428332247
152,couts,5.1103943437025725
153,commare,5.1228857791375875
154,sailes,5.128435880723732
155,corme,5.132142959509029
156,carts,5.135911109401509
157,moris,5.1461904927002236
158,pens,5.174424479121343
159,ronser,5.178424857213979
160,apit,5.195859664843568
161,conée,5.198783296789259
162,sulée,5.200274589428857
163,rouse,5.205539584871307
164,porez,5.206100617281617
165,jons,5.208203851018486
166,porner,5.2095276400072015
167,saisé,5.2156498496357235
168,poise,5.2234680072512445
169,lans,5.229851809652156
170,baite,5.235230169620555
171,solés,5.241226600255153
172,ardez,5.243077548462345
173,cortât,5.245578533803423
174,conda,5.250681511018254
175,donts,5.261126627823705
176,tois,5.2651674942424656
177,cormate,5.271353745100438
178,paise,5.273423960855184
179,méris,5.281130998396579
180,bortit,5.28413436113666
181,corcit,5.288589603361265
182,tonser,5.290144224799146
183,disé,5.291768065208629
184,soire,5.298753145997149
185,sura,5.299752702253935
186,dier,5.3041884599527735
187,cornit,5.32089640601279
188,corée,5.323422584151771
189,rousez,5.323624788380076
190,satis,5.324813417898538
191,dins,5.332014063588264
192,araie,5.332657856901217
193,audis,5.334799164106069
194,poins,5.341378343643366
195,cormise,5.34261485363874
196,sommage,5.3458452319592
197,clit,5.3496333344755405
198,cormale,5.353043625657614
199,arnes,5.357692721778223
200,cies,5.359628707167878
201,cord,5.362560305460979
202,rille,5.3678340939645395
203,ronse,5.370147876263404
204,dité,5.374010491311627
205,molis,5.375254151860179
206,colie,5.379701396011671
207,caite,5.389351141643493
208,ponser,5.39313691768916
209,cats,5.403659369433404
210,porés,5.403707624877314
211,curs,5.405592973531123
212,lint,5.406164649035984
213,canis,5.406369979385794
214,naite,5.4119551306234674
215,pors,5.42391676827552
216,tortit,5.4277137729306215
217,raita,5.440065816432591
218,suras,5.4439465046022475
219,alais,5.447365964436704
220,morie,5.450110238278505
221,déta,5.450285851044926
222,core,5.451955726775193
223,sint,5.4526045875483256
224,millé,5.453119223837483
225,rour,5.460968869190433
226,fies,5.461464344836442
227,commace,5.462056715102471
228,corris,5.463439261748331
229,péra,5.46707742201793
230,ronsez,5.470636625272458
231,arris,5.475458154869322
232,comnage,5.479619138593842
233,coiser,5.4826103990104755
234,toure,5.489320452852432
235,poine,5.498336676313785
236,cort,5.498484848761362
237,deme,5.499912768005842
238,arrés,5.500987301771826
239,tonse,5.502757070589194
240,conés,5.507934944382831
241,nent,5.509947209590881
242,pler,5.510566498564589
243,corgis,5.514738738904811
244,bots,5.515301114738146
245,corgit,5.516068728310385
246,amit,5.529688651375049
247,jant,5.534228729218005
248,marras,5.537199736293482
249,suile,5.546730198910664
250,fonse,5.547490828502489
251,commuge,5.551589387498614
252,tera,5.558871670784893
253,toint,5.56010203578726
254,contif,5.563335580246067
255,nouser,5.564962115332883
256,laire,5.569059725804303
257,poira,5.569519605942979
258,pats,5.574012691157153
259,tonsez,5.5886601712185335
260,cortir,5.589884218109787
261,sonis,5.590864060424446
262,tommage,5.5908881186891
263,corrit,5.5913696186183355
264,arai,5.592406272956447
265,honts,5.593123251416366
266,drai,5.594298288395864
267,hurs,5.596785920763367
268,cues,5.599995438898757
269,suise,5.60842472247586
270,aéris,5.609225956216067
271,matra,5.609712955745937
272,cint,5.610625592660325
273,ases,5.614975824504069
274,consa,5.617707456768486
275,arrit,5.62222936564168
276,sursé,5.62322347217103
277,ponse,5.625362975279856
278,cras,5.625543476270383
279,corbit,5.62849798622126
280,ford,5.638861740830502
281,dortis,5.639687861363473
282,cormite,5.644374230900532
283,toirer,5.646249168800862
284,monis,5.661674500016507
285,soise,5.662143453348758
286,artis,5.669175683816581
287,teras,5.671309055236842
288,nommage,5.678344148331924
289,pité,5.681403081084224
290,ponsez,5.697464607585825
291,actie,5.6996859343287
292,dortit,5.700453453798881
293,ronna,5.701532742804338
294,cong,5.70345926752891
295,cortin,5.708241496522481
296,corta,5.7150405887038565
297,cier,5.718628729816047
298,sins,5.726730387144704
299,coise,5.732147252145753
300,haite,5.735658829392974
301,poir,5.736132386047313
302,sies,5.742372799718444
303,roure,5.751978654291928
304,possite,5.7535996265873335
305,sonit,5.753872956985727
306,saira,5.756962355195271
307,plas,5.757174069413243
308,tognes,5.7582618496743825
309,nonser,5.758555871488007
310,morée,5.758704713625077
311,soris,5.7607408629201124
312,jait,5.7695845490003705
313,fora,5.769781557715945
314,corméte,5.772373124474136
315,moit,5.78221166960646
316,donse,5.796760130349003
317,arrie,5.798823535865787
318,arées,5.799364942832897
319,codis,5.804928407350182
320,gote,5.807059856302055
321,bonse,5.810557794263917
322,pora,5.813750226009535
323,rense,5.81419543224044
324,patra,5.814427080689701
325,tourer,5.81571640307287
326,toiner,5.816765884550797
327,commagé,5.820209761087886
328,baire,5.820363697134229
329,tolle,5.828031139491836
330,nouse,5.830652251763867
331,sairas,5.833136373830866
332,tontais,5.8336921687873025
333,romme,5.842761191315084
334,zons,5.845070958394378
335,patre,5.851511690901836
336,torner,5.853925469270485
337,foras,5.855252774550053
338,saita,5.860540354914514
339,bonsez,5.8612534512912156
340,suaie,5.864175200676452
341,arbes,5.869428512286113
342,munée,5.877491362797622
343,cormote,5.890109923551264
344,cins,5.892695785378161
345,rerie,5.893169841641107
346,poras,5.893477733107264
347,sorit,5.915159157696904
348,toulte,5.915787364568792
349,coots,5.924917502066027
350,cammage,5.931893561572502
351,coltit,5.932117029558359
352,cogis,5.932780543490954
353,reile,5.935073688886846
354,surle,5.937195151654596
355,ronnas,5.939146593745913
356,clas,5.9394583405666825
357,consen,5.939747393893162
358,aérie,5.940491292764031
359,cond,5.940556408256631
360,pommage,5.940739364865012
361,saitalai,5.942658330634061
362,coms,5.946951044255517
363,sulis,5.9474657276503855
364,ronis,5.950275981648621
365,emet,5.955696317935364
366,yons,5.957138805755675
367,suls,5.959679826399861
368,comé,5.960305074517808
369,sair,5.96198337402733
370,acris,5.962467806969777
371,toine,5.969256411125666
372,conif,5.971397367964829
373,ponna,5.972496834860745
374,glis,5.979774981574435
375,vieur,5.983826480405895
376,lanit,5.994544706665158
377,roire,5.996663328712494
378,méné,5.998313556636217
379,yant,5.998710968155089
380,astis,6.004456185679522
381,parronai,6.011802919513117
382,corcis,6.012259071895923
383,torne,6.012857688882612
384,mora,6.013993567216458
385,garra,6.024645262155116
386,saile,6.029628217742328
387,rerse,6.030833160025552
388,corra,6.0314088290993455
389,méra,6.032172762058516
390,tuble,6.032467400664856
391,sollé,6.034977247192196
392,dordit,6.034983006412614
393,coptit,6.035715397612709
394,conze,6.036828556796925
395,soira,6.037257035232144
396,munt,6.038596927258125
397,autis,6.044102727361473
398,roiser,6.044173969312273
399,toira,6.046535992945791
400,sonsé,6.048213418141221
401,torie,6.049006197002013
402,parranai,6.049826178084037
403,tormer,6.051447970265158
404,lisé,6.053397727733998
405,cornate,6.056171434880965
406,rourer,6.0584923868479805
407,aurs,6.058543146333092
408,glai,6.059419325369106
409,pétis,6.061005809230497
410,nonse,6.063035871046055
411,bommage,6.065758090038553
412,moras,6.067046107238633
413,cormile,6.067423677585091
414,nortis,6.067438805570977
415,contin,6.070367632820252
416,prai,6.072950457269418
417,cormits,6.081652195115559
418,méras,6.082762342373239
419,mornifs,6.089582867167226
420,sulit,6.093822935120154
421,condin,6.094554729224575
