rang,mot,fitness
1,prons,2.9404207249079937
2,mant,3.023001804053733
3,cont,3.029136682775327
4,cations,3.0470173773823253
5,pations,3.1107247894995975
6,entes,3.1763243170830378
7,ations,3.1841546250767836
8,bations,3.19361353611602
9,rées,3.219738648239247
10,ents,3.2381843683430627
11,prées,3.2855118432797674
12,sant,3.3180255115012653
13,cant,3.3256735561447495
14,ines,3.354321244393291
15,pront,3.37293312875337
16,ables,3.3822882953002056
17,commes,3.38261575613309
18,dées,3.396844943316055
19,prent,3.407532690022737
20,stions,3.4733755086326865
21,rant,3.4882016540083036
22,pant,3.496743134496487
23,crons,3.502879145582722
24,tions,3.52153390254893
25,inées,3.5230291364329687
26,trons,3.530676056649447
27,tres,3.530999621329529
28,commens,3.5764637000960655
29,trions,3.5814411886904556
30,sions,3.5827164323706735
31,ationt,3.5903982468343507
32,mants,3.6007227179877614
33,conts,3.6069852153294764
34,emes,3.6084133820794326
35,ches,3.616858431135453
36,lant,3.627801972648954
37,bant,3.6341469314871624
38,ques,3.656993107622509
39,rons,3.6670100275913753
40,brons,3.7011130823840315
41,pres,3.710651461634175
42,inces,3.715991083537353
43,cables,3.725426234417392
44,antes,3.7496895916390995
45,dions,3.750098770502875
46,pron,3.7693571657557166
47,sées,3.7811490319405228
48,fations,3.7822927020221964
49,coles,3.7946696168903937
50,commées,3.7970588041207
51,fons,3.8086772360813144
52,frons,3.811130109595754
53,éques,3.813818787340074
54,imant,3.817952703163306
55,entées,3.822225676131894
56,brent,3.822399239083228
57,intes,3.831649490604681
58,mait,3.834506355848033
59,bles,3.8462531351801372
60,colées,3.850075683722287
61,enters,3.85947153155681
62,chons,3.8610406532985744
63,pons,3.8711243369159036
64,pronts,3.8772064704049205
65,hant,3.8778028911117364
66,fant,3.881705453386668
67,vations,3.891291396716504
68,chées,3.9111068531354083
69,stiont,3.9165187640633006
70,ants,3.9299207820599213
71,mées,3.9315346731016563
72,vions,3.9498017126345415
73,perons,3.9503598922211545
74,grons,3.9541126682254055
75,commer,3.9667647896628684
76,démes,3.9680369167420744
77,conse,3.9742111464116725
78,ation,3.9845967232310526
79,cules,3.9979324714943396
80,crées,3.9980447772048486
81,conce,4.0101661776428745
82,cront,4.018124690821226
83,éprons,4.020417790977006
84,rens,4.023148300029412
85,inges,4.025752816228175
86,ints,4.030318138121381
87,pronné,4.036249203845045
88,déces,4.039032107059421
89,tiont,4.039523413543852
90,abler,4.064118628419847
91,écont,4.068347433702474
92,exions,4.077773460118457
93,rables,4.086040766456075
94,ences,4.087993130617008
95,ennes,4.094403505287054
96,ronne,4.100182624656438
97,dations,4.10670295189858
98,plons,4.114557615465921
99,apper,4.132267657251131
100,comées,4.132577557391875
101,affes,4.134718265870651
102,prour,4.13674593991627
103,stes,4.144899842331694
104,entez,4.145082003242871
105,fles,4.1501395469148
106,compes,4.152573444012047
107,gres,4.162877335633311
108,parons,4.164234450522835
109,comes,4.171291162025198
110,ades,4.1762761260620245
111,commers,4.178785290135043
112,alles,4.18185518026832
113,ationné,4.182486196698686
114,attions,4.186126925309498
115,extes,4.193846872205127
116,bables,4.201554570209207
117,écommes,4.202999836095945
118,endes,4.203616956776269
119,lons,4.2075385348402
120,exces,4.210142955480862
121,gues,4.220206302918174
122,pronse,4.2204832582397
123,nons,4.2247398619502645
124,commée,4.224855090030323
125,mint,4.225550814057743
126,tées,4.236837419589937
127,ales,4.238269775241065
128,bres,4.242893989737181
129,anter,4.244460062909509
130,cades,4.244558118955999
131,bront,4.245517256455268
132,capper,4.245586753313772
133,entés,4.25682424394443
134,pérons,4.257779079014811
135,comber,4.259739159017645
136,ances,4.261042670342155
